area_id,name,floor_id,icon,temperature_entity_id,humidity_entity_id
forradet,Förrådet,markplan,,,
groventre,Groventre,markplan,,,
hall,Hall,markplan,mdi:door,,
kontor,Kontor,markplan,mdi:chair-rolling,,
kok,Kök,markplan,mdi:faucet,,
sovrum,Sovrum,markplan,mdi:bed-double-outline,,
tv_rum,TV-Rum,markplan,mdi:television,,
utomhus,Utomhus,markplan,mdi:white-balance-sunny,,
vardagsrum,Vardagsrum,markplan,,,
felix_rum,Felix rum,kallare,mdi:bed,,
kallarhall,Källarhall,kallare,,,
krypgrunden,Krypgrunden,kallare,,,
kallare,Källare,kallare,mdi:home-floor-b,,
leos_rum,Leos rum,kallare,mdi:account,,
matkallare,Matkällare,kallare,mdi:liquor,,
tvattstuga,Tvättstuga,kallare,mdi:hanger,,
vind,Vind,vind,,,
cloud,Cloud,,mdi:cloud,,
kattrum,Kattrum,,,,
